keyword,category
disney junior,Kids
disney jr,Kids
nick jr,Kids
nickelodeon,Kids
nicktoons,Kids
cartoon,Kids
boomerang,Kids
pbs kids,Kids
universal kids,Kids
kids,Kids
hbo,Movies
cinemax,Movies
starz,Movies
showtime,Movies
epix,Movies
sundance,Movies
tcm,Movies
amc,Movies
sony movies,Movies
movie,Movies
cinema,Movies
espn,Sport
fox sports,Sport
nfl,Sport
nba,Sport
nba tv,Sport
mlb,Sport
nhl,Sport
golf,Sport
tennis,Sport
motor,Sport
racing,Sport
nascar,Sport
bein,Sport
sportsnet,Sport
big ten,Sport
acc network,Sport
pac-12,Sport
sec network,Sport
nfl network,Sport
sport,Sport
mtv,Music
vh1,Music
cmt,Music
trace,Music
revolt,Music
music,Music
discovery,Knowledge
history,Knowledge
national geographic,Knowledge
nat geo,Knowledge
animal planet,Knowledge
science,Knowledge
smithsonian,Knowledge
weather channel,Knowledge
pbs,Knowledge
cnn,NEWS
bbc news,NEWS
bbc world news,NEWS
msnbc,NEWS
fox news,NEWS
sky news,NEWS
bloomberg,NEWS
cnbc,NEWS
newsmax,NEWS
abc news,NEWS
cbs news,NEWS
nbc news,NEWS
al jazeera,NEWS
news,NEWS
