keyword,category
espn,Olahraga
sport,Olahraga
bein,Olahraga
golf,Olahraga
nba,Olahraga
nfl,Olahraga
motogp,Olahraga
f1,Olahraga
cnn,Berita
bbc news,Berita
al jazeera,Berita
metro tv,Berita
kompas,Berita
sky news,Berita
tvone,Berita
hbo,Film
cinemax,Film
cinema,Film
movie,Film
starmovies,Film
fox movies,Film
mtv,Musik
vh1,Musik
music,Musik
trace,Musik
cartoon,Anime & Animasi
disney,Anime & Animasi
nickelodeon,Anime & Animasi
anime,Anime & Animasi
animax,Anime & Animasi
discovery,Knowledge
history,Knowledge
national geographic,Knowledge
natgeo,Knowledge
animal planet,Knowledge
