label	url	mode
Indonesia	https://iptv-org.github.io/iptv/countries/id.m3u	single
Anime & Animasi	https://iptv-org.github.io/iptv/categories/animation.m3u	single
Musik	https://iptv-org.github.io/iptv/categories/music.m3u	single
Berita	https://iptv-org.github.io/iptv/categories/news.m3u	single
Film	https://iptv-org.github.io/iptv/categories/movies.m3u	single
Olahraga	https://iptv-org.github.io/iptv/categories/sports.m3u	single
Knowledge	https://iptv-org.github.io/iptv/categories/documentary.m3u	single
Knowledge	https://iptv-org.github.io/iptv/categories/education.m3u	single
LIVE EVENTS	https://raw.githubusercontent.com/doms9/iptv/refs/heads/default/M3U8/events.m3u8	single
TV Umum (doms9 base)	https://s.id/d9Base	keyword
